"kjid","win_time","win_status","deal_order","banker_money","visit_money","nostril_money","surname_money","banker_win_money","visit_win_money","nostril_win_money","surname_win_money","banker_left","banker_right","banker_result","visit_left","visit_right","visit_result","nostril_left","nostril_right","nostril_result","surname_left","surname_right","surname_result","win_result","add_time","start_time","end_time"
"NINE18000036","1536891195","0","19","0","0","0","0","0","0","0","0","18","20","55","5","26","9","2","15","5","13","35","3","0","1536891135","1536891185","1536891185"
"NINE18000037","1536891255","0","20","0","0","0","0","0","0","0","0","29","15","2","8","30","0","6","3","3","17","37","5","11","1536891195","1536891245","1536891245"
"NINE18000038","1536891315","0","5","0","0","0","0","0","0","0","0","8","9","5","2","35","0","17","1","6","29","7","0","10","1536891255","1536891305","1536891305"
"NINE18000039","1536891375","0","18","0","0","0","0","0","0","0","0","20","5","7","3","16","5","6","17","7","25","26","77","1","1536891315","1536891365","1536891365"
"NINE18000040","1536891435","0","22","0","0","0","0","0","0","0","0","21","23","66","31","12","1","10","18","8","2","14","5","0","1536891375","1536891425","1536891425"
"NINE18000041","1536891495","0","37","0","0","0","0","0","0","0","0","26","15","1","2","29","9","33","17","4","38","32","8","111","1536891435","1536891485","1536891485"
"NINE18000042","1536891555","0","31","0","0","0","0","0","0","0","0","30","9","1","32","34","7","25","26","77","16","6","6","111","1536891495","1536891545","1536891545"
"NINE18000043","1536891615","0","20","0","0","0","0","0","0","0","0","26","24","3","16","30","2","23","37","6","25","27","77","11","1536891555","1536891605","1536891605"
"NINE18000044","1536891675","0","5","0","0","0","0","0","0","0","0","10","16","7","14","21","0","11","19","8","40","18","5","10","1536891615","1536891665","1536891665"
"NINE18000045","1536891735","0","32","0","0","0","0","0","0","0","0","33","36","99","2","6","3","7","40","2","1","37","1","0","1536891675","1536891725","1536891725"
"NINE18000046","1536891795","0","38","0","0","0","0","0","0","0","0","30","25","5","37","34","9","29","8","0","22","36","5","100","1536891735","1536891785","1536891785"
"NINE18000047","1536891855","0","8","0","0","0","0","0","0","0","0","26","28","77","39","27","7","6","14","6","33","29","7","0","1536891795","1536891845","1536891845"
"NINE18000048","1536891915","0","13","0","0","0","0","0","0","0","0","35","36","99","38","25","7","26","5","9","3","24","7","0","1536891855","1536891905","1536891905"
"NINE18000049","1536891975","0","24","0","0","0","0","0","0","0","0","13","28","1","35","31","7","30","11","1","5","12","5","101","1536891915","1536891965","1536891965"
"NINE18000050","1536892035","0","8","0","0","0","0","0","0","0","0","13","22","0","5","17","7","28","6","9","10","16","7","111","1536891975","1536892025","1536892025"
"NINE18000051","1536892095","0","15","0","0","0","0","0","0","0","0","8","3","3","10","36","2","33","25","6","14","16","44","11","1536892035","1536892085","1536892085"
"NINE18000052","1536892155","0","12","0","0","0","0","0","0","0","0","5","6","22","10","27","0","19","25","2","4","35","0","0","1536892095","1536892145","1536892145"
"NINE18000053","1536892215","0","28","0","0","0","0","0","0","0","0","22","31","4","37","29","8","18","3","6","17","38","5","111","1536892155","1536892205","1536892205"
"NINE18000054","1536892275","0","19","0","0","0","0","0","0","0","0","10","34","2","20","7","7","5","31","0","24","38","6","101","1536892215","1536892265","1536892265"
"NINE18000055","1536892335","0","6","0","0","0","0","0","0","0","0","20","18","55","2","27","8","34","3","0","14","25","1","0","1536892275","1536892325","1536892325"
"NINE18000056","1536892395","0","10","0","0","0","0","0","0","0","0","9","34","2","24","12","9","23","40","6","38","22","6","111","1536892335","1536892385","1536892385"
"NINE18000057","1536892455","0","36","0","0","0","0","0","0","0","0","34","25","6","6","11","5","13","16","44","9","18","8","11","1536892395","1536892445","1536892445"
"NINE18000058","1536892515","0","36","0","0","0","0","0","0","0","0","35","31","7","20","21","1","10","27","0","23","26","3","0","1536892455","1536892505","1536892505"
"NINE18000059","1536892575","0","16","0","0","0","0","0","0","0","0","20","35","4","39","24","6","1","29","9","12","21","9","111","1536892515","1536892565","1536892565"
"NINE18000060","1536892635","0","38","0","0","0","0","0","0","0","0","30","29","88","24","27","3","5","37","2","26","35","6","0","1536892575","1536892625","1536892625"
"NINE18000061","1536892695","0","33","0","0","0","0","0","0","0","0","10","31","1","37","5","2","34","20","4","18","13","9","111","1536892635","1536892685","1536892685"
"NINE18000062","1536892755","0","11","0","0","0","0","0","0","0","0","32","30","88","29","38","8","12","19","8","8","40","2","0","1536892695","1536892745","1536892745"
"NINE18000063","1536892815","0","34","0","0","0","0","0","0","0","0","24","21","66","14","36","3","20","17","55","18","38","5","0","1536892755","1536892805","1536892805"
"NINE18000064","1536892875","0","16","0","0","0","0","0","0","0","0","3","30","9","38","23","6","4","11","4","32","26","5","0","1536892815","1536892865","1536892865"
"NINE18000065","1536892935","0","2","0","0","0","0","0","0","0","0","27","33","6","4","20","6","3","37","1","25","32","5","0","1536892875","1536892925","1536892925"
"NINE18000066","1536892995","0","37","0","0","0","0","0","0","0","0","19","15","9","27","7","9","4","34","0","35","26","6","0","1536892935","1536892985","1536892985"
"NINE18000067","1536893055","0","2","0","0","0","0","0","0","0","0","12","34","2","31","33","7","39","27","7","16","29","2","110","1536892995","1536893045","1536893045"
"NINE18000068","1536893115","0","32","0","0","0","0","0","0","0","0","15","28","1","2","36","0","33","6","1","34","26","6","1","1536893055","1536893105","1536893105"
"NINE18000069","1536893175","0","33","0","0","0","0","0","0","0","0","29","27","5","31","30","88","16","40","4","11","18","8","101","1536893115","1536893165","1536893165"
"NINE18000070","1536893235","0","16","0","0","0","0","0","0","0","0","28","13","1","35","11","2","25","31","5","27","32","5","111","1536893175","1536893225","1536893225"
"NINE18000071","1536893295","0","1","0","0","0","0","0","0","0","0","29","25","5","33","27","6","19","34","4","35","18","4","100","1536893235","1536893285","1536893285"
"NINE18000072","1536893355","0","29","0","0","0","0","0","0","0","0","35","36","99","24","1","7","22","34","5","33","31","7","0","1536893295","1536893345","1536893345"
"NINE18000073","1536893415","0","17","0","0","0","0","0","0","0","0","35","36","99","20","13","9","8","32","0","4","31","9","0","1536893355","1536893405","1536893405"
"NINE18000074","1536893475","0","22","0","0","0","0","0","0","0","0","24","34","5","13","16","44","33","20","4","26","25","77","101","1536893415","1536893465","1536893465"
"NINE18000075","1536893535","0","18","0","0","0","0","0","0","0","0","29","6","0","24","8","8","39","25","7","31","15","2","111","1536893475","1536893525","1536893525"
"NINE18000076","1536893595","0","38","0","0","0","0","0","0","0","0","34","1","0","33","28","6","8","31","0","37","18","5","101","1536893535","1536893585","1536893585"
"NINE18000077","1536893655","0","24","0","0","0","0","0","0","0","0","36","35","99","2","21","7","18","30","3","16","8","6","0","1536893595","1536893645","1536893645"
"NINE18000078","1536893716","0","15","0","0","0","0","0","0","0","0","30","11","1","14","10","7","23","13","0","7","12","5","101","1536893656","1536893705","1536893705"
"NINE18000079","1536893775","0","14","0","0","0","0","0","0","0","0","36","23","5","18","28","2","13","34","3","8","12","5","0","1536893715","1536893765","1536893765"
"NINE18000080","1536893836","0","21","0","0","0","0","0","0","0","0","13","18","9","26","32","5","35","23","5","27","28","77","1","1536893776","1536893825","1536893825"
"NINE18000081","1536893895","0","2","0","0","0","0","0","0","0","0","17","19","55","39","1","1","12","31","1","27","9","0","0","1536893835","1536893885","1536893885"
"NINE18000082","1536893955","0","13","0","0","0","0","0","0","0","0","35","36","99","18","39","5","12","30","1","10","24","9","0","1536893895","1536893945","1536893945"
"NINE18000083","1536894015","0","22","0","0","0","0","0","0","0","0","16","27","1","29","20","3","26","11","0","30","9","1","100","1536893955","1536894005","1536894005"
"NINE18000084","1536894075","0","5","0","0","0","0","0","0","0","0","21","34","5","33","40","9","16","2","5","27","20","2","100","1536894015","1536894065","1536894065"
"NINE18000085","1536894135","0","15","0","0","0","0","0","0","0","0","5","28","9","10","19","8","11","9","33","8","3","3","10","1536894075","1536894125","1536894125"
"NINE18000086","1536894195","0","21","0","0","0","0","0","0","0","0","23","35","5","7","29","0","8","5","22","6","33","1","10","1536894135","1536894185","1536894185"
"NINE18000087","1536894255","0","16","0","0","0","0","0","0","0","0","32","20","3","34","37","9","13","24","0","28","2","8","101","1536894195","1536894245","1536894245"
"NINE18000088","1536894316","0","9","0","0","0","0","0","0","0","0","33","29","7","12","26","0","5","27","9","35","4","0","10","1536894256","1536894305","1536894305"
"NINE18000089","1536894375","0","11","0","0","0","0","0","0","0","0","27","8","9","25","24","3","9","1","4","13","37","4","0","1536894315","1536894365","1536894365"
"NINE18000090","1536894435","0","15","0","0","0","0","0","0","0","0","7","32","0","13","38","4","17","14","9","34","37","9","111","1536894375","1536894425","1536894425"
"NINE18000091","1536894495","0","17","0","0","0","0","0","0","0","0","33","34","99","3","14","5","7","28","9","31","5","0","0","1536894435","1536894485","1536894485"
"NINE18000092","1536894555","0","12","0","0","0","0","0","0","0","0","35","34","99","28","29","5","40","32","8","9","33","2","0","1536894495","1536894545","1536894545"
"NINE18000093","1536894615","0","5","0","0","0","0","0","0","0","0","29","34","7","38","17","5","37","33","9","30","39","8","11","1536894555","1536894605","1536894605"
"NINE18000094","1536894675","0","37","0","0","0","0","0","0","0","0","1","30","9","22","25","3","2","24","7","21","15","0","0","1536894615","1536894665","1536894665"
"NINE18000095","1536894735","0","14","0","0","0","0","0","0","0","0","22","21","66","27","7","9","11","13","7","2","24","7","0","1536894675","1536894725","1536894725"
"NINE18000096","1536894802","0","35","0","0","0","0","0","0","0","0","25","11","0","13","2","5","37","15","4","6","39","2","111","1536894742","1536894785","1536894785"
"NINE18000097","1536894855","0","12","0","0","0","0","0","0","0","0","21","4","7","36","16","3","11","30","1","35","1","0","0","1536894795","1536894845","1536894845"
"NINE18000098","1536894915","0","6","0","0","0","0","0","0","0","0","36","33","99","35","17","4","40","19","5","29","5","0","0","1536894855","1536894905","1536894905"
"NINE18000099","1536894975","0","7","0","0","0","0","0","0","0","0","17","34","4","13","4","5","32","31","88","29","8","0","110","1536894915","1536894965","1536894965"
"NINE18000100","1536895035","0","36","0","0","0","0","0","0","0","0","9","13","7","7","30","0","8","37","2","23","3","7","0","1536894975","1536895025","1536895025"
"NINE18000101","1536895095","0","24","0","0","0","0","0","0","0","0","32","23","4","3","16","5","31","22","4","35","14","3","100","1536895035","1536895085","1536895085"
"NINE18000102","1536895156","0","1","0","0","0","0","0","0","0","0","33","3","0","12","15","7","20","40","5","39","6","2","111","1536895096","1536895145","1536895145"
"NINE18000103","1536895215","0","9","0","0","0","0","0","0","0","0","18","19","55","30","17","3","29","11","1","35","5","1","0","1536895155","1536895205","1536895205"
"NINE18000104","1536895275","0","32","0","0","0","0","0","0","0","0","22","24","66","34","6","1","23","31","4","3","37","1","0","1536895215","1536895265","1536895265"
"NINE18000105","1536895336","0","33","0","0","0","0","0","0","0","0","3","6","3","34","31","7","18","17","55","16","10","7","111","1536895276","1536895325","1536895325"
"NINE18000106","1536895395","0","6","0","0","0","0","0","0","0","0","17","35","4","20","37","5","23","8","8","13","29","2","110","1536895335","1536895385","1536895385"
"NINE18000107","1536895455","0","5","0","0","0","0","0","0","0","0","34","27","6","37","10","3","9","11","33","28","26","77","11","1536895395","1536895445","1536895445"
"NINE18000108","1536895515","0","26","0","0","0","0","0","0","0","0","21","36","5","24","8","8","12","1","4","14","33","3","100","1536895455","1536895505","1536895505"
"NINE18000109","1536895575","0","1","0","0","0","0","0","0","0","0","30","26","5","29","33","7","34","16","3","23","8","8","101","1536895515","1536895565","1536895565"
"NINE18000110","1536895635","0","9","0","0","0","0","0","0","0","0","21","36","5","30","38","8","12","13","7","7","8","22","111","1536895575","1536895625","1536895625"
"NINE18000111","1536895695","0","3","0","0","0","0","0","0","0","0","19","28","2","36","6","1","39","12","3","40","30","8","11","1536895635","1536895685","1536895685"
"NINE18000112","1536895756","0","4","0","0","0","0","0","0","0","0","9","33","2","2","40","1","14","38","4","5","18","7","11","1536895696","1536895745","1536895745"
"NINE18000113","1536895816","0","26","0","0","0","0","0","0","0","0","1","2","11","13","12","7","21","20","1","36","7","1","0","1536895756","1536895805","1536895805"
"NINE18000114","1536895875","0","22","0","0","0","0","0","0","0","0","33","2","0","12","21","9","38","13","4","14","5","6","111","1536895815","1536895865","1536895865"
"NINE18000115","1536895935","0","10","0","0","0","0","0","0","0","0","19","31","3","1","8","3","27","34","6","2","14","5","11","1536895875","1536895925","1536895925"
"NINE18000116","1536895995","0","6","0","0","0","0","0","0","0","0","15","19","9","17","34","4","13","30","2","12","20","8","0","1536895935","1536895985","1536895985"
"NINE18000117","1536896056","0","28","0","0","0","0","0","0","0","0","31","25","5","9","11","33","37","1","1","3","21","7","101","1536895996","1536896045","1536896045"
"NINE18000118","1536896115","0","16","0","0","0","0","0","0","0","0","34","35","99","26","23","3","10","30","1","33","28","6","0","1536896055","1536896105","1536896105"
"NINE18000119","1536896175","0","34","0","0","0","0","0","0","0","0","1","24","7","30","12","1","17","27","2","7","2","3","0","1536896115","1536896165","1536896165"
"NINE18000120","1536896235","0","33","0","0","0","0","0","0","0","0","1","36","0","2","38","1","15","30","2","34","32","7","111","1536896175","1536896225","1536896225"
"NINE18000121","1536896296","0","28","0","0","0","0","0","0","0","0","8","4","3","5","2","3","32","40","8","18","12","8","11","1536896236","1536896285","1536896285"
"NINE18000122","1536896355","0","1","0","0","0","0","0","0","0","0","29","5","0","38","40","1010","21","25","3","18","30","3","111","1536896295","1536896345","1536896345"
"NINE18000123","1536896415","0","9","0","0","0","0","0","0","0","0","29","32","88","38","24","6","35","23","5","33","8","1","0","1536896355","1536896405","1536896405"
"NINE18000124","1536896475","0","20","0","0","0","0","0","0","0","0","34","26","6","37","32","8","25","3","8","7","23","8","111","1536896415","1536896465","1536896465"
"NINE18000125","1536896535","0","22","0","0","0","0","0","0","0","0","3","4","11","2","25","8","24","5","8","18","12","8","0","1536896475","1536896525","1536896525"
"NINE18000126","1536896595","0","11","0","0","0","0","0","0","0","0","17","18","55","9","23","9","19","34","4","24","40","6","0","1536896535","1536896585","1536896585"
"NINE18000127","1536896655","0","25","0","0","0","0","0","0","0","0","34","33","99","5","8","22","36","22","5","14","21","0","0","1536896595","1536896645","1536896645"
"NINE18000128","1536896715","0","10","0","0","0","0","0","0","0","0","25","35","6","9","30","1","26","6","9","18","13","9","11","1536896655","1536896705","1536896705"
"NINE18000129","1536896775","0","7","0","0","0","0","0","0","0","0","32","28","5","18","10","8","14","23","0","22","8","8","101","1536896715","1536896765","1536896765"
"NINE18000130","1536896836","0","26","0","0","0","0","0","0","0","0","6","11","5","15","29","2","28","10","0","4","36","0","0","1536896776","1536896825","1536896825"
"NINE18000131","1536896895","0","25","0","0","0","0","0","0","0","0","36","33","99","13","38","4","37","19","5","5","6","22","0","1536896835","1536896885","1536896885"
"NINE18000132","1536896955","0","40","0","0","0","0","0","0","0","0","31","2","9","12","24","9","23","38","6","13","19","9","0","1536896895","1536896945","1536896945"
"NINE18000133","1536897015","0","17","0","0","0","0","0","0","0","0","33","36","99","38","30","8","23","34","5","6","24","8","0","1536896955","1536897005","1536897005"
"NINE18000134","1536897075","0","32","0","0","0","0","0","0","0","0","19","26","2","10","14","7","38","18","5","20","30","3","111","1536897015","1536897065","1536897065"
"NINE18000135","1536897135","0","17","0","0","0","0","0","0","0","0","24","34","5","29","40","8","2","16","5","30","15","2","100","1536897075","1536897125","1536897125"
"NINE18000136","1536897195","0","2","0","0","0","0","0","0","0","0","26","31","5","28","24","3","15","17","9","20","13","9","11","1536897135","1536897185","1536897185"
"NINE18000137","1536897255","0","27","0","0","0","0","0","0","0","0","20","13","9","22","19","1","11","9","33","35","40","9","10","1536897195","1536897245","1536897245"
"NINE18000138","1536897315","0","24","0","0","0","0","0","0","0","0","34","25","6","28","4","8","40","7","2","38","27","7","101","1536897255","1536897305","1536897305"
"NINE18000139","1536897375","0","19","0","0","0","0","0","0","0","0","30","34","7","26","35","6","14","4","5","18","16","9","1","1536897315","1536897365","1536897365"
"NINE18000140","1536897436","0","40","0","0","0","0","0","0","0","0","9","7","5","13","21","0","12","17","8","31","34","7","11","1536897376","1536897425","1536897425"
"NINE18000141","1536897495","0","29","0","0","0","0","0","0","0","0","34","35","99","38","1","1","37","3","1","6","36","1","0","1536897435","1536897485","1536897485"
"NINE18000142","1536897555","0","14","0","0","0","0","0","0","0","0","23","25","3","40","27","7","3","2","11","26","20","2","110","1536897495","1536897545","1536897545"
"NINE18000143","1536897615","0","8","0","0","0","0","0","0","0","0","33","21","5","38","40","1010","23","18","1","7","11","5","100","1536897555","1536897605","1536897605"
"NINE18000144","1536897676","0","34","0","0","0","0","0","0","0","0","15","17","9","18","23","1","22","14","0","5","16","6","0","1536897616","1536897665","1536897665"
"NINE18000145","1536897735","0","8","0","0","0","0","0","0","0","0","32","29","88","30","39","8","26","2","8","10","9","33","0","1536897675","1536897725","1536897725"
"NINE18000146","1536897795","0","30","0","0","0","0","0","0","0","0","26","31","5","37","7","2","34","17","4","12","19","8","1","1536897735","1536897785","1536897785"
"NINE18000147","1536897855","0","24","0","0","0","0","0","0","0","0","33","17","4","3","16","5","9","13","7","27","36","6","111","1536897795","1536897845","1536897845"
"NINE18000148","1536897916","0","24","0","0","0","0","0","0","0","0","7","18","7","38","8","2","10","11","33","25","15","1","10","1536897856","1536897905","1536897905"
"NINE18000149","1536897975","0","7","0","0","0","0","0","0","0","0","30","31","88","37","15","4","16","14","44","38","39","1010","1","1536897915","1536897965","1536897965"
"NINE18000150","1536898035","0","39","0","0","0","0","0","0","0","0","21","17","1","37","3","1","36","8","1","13","9","7","1","1536897975","1536898025","1536898025"
"NINE18000151","1536898095","0","33","0","0","0","0","0","0","0","0","7","30","0","20","12","8","5","38","2","3","40","1","111","1536898035","1536898085","1536898085"
"NINE18000152","1536898155","0","32","0","0","0","0","0","0","0","0","27","22","3","4","33","0","9","18","8","16","8","6","11","1536898095","1536898145","1536898145"
"NINE18000153","1536898215","0","6","0","0","0","0","0","0","0","0","16","34","3","5","37","2","17","29","3","28","12","0","0","1536898155","1536898205","1536898205"
"NINE18000154","1536898275","0","33","0","0","0","0","0","0","0","0","34","25","6","35","31","7","24","22","66","12","8","5","110","1536898215","1536898265","1536898265"
"NINE18000155","1536898335","0","6","0","0","0","0","0","0","0","0","33","28","6","3","25","8","26","30","5","13","17","9","101","1536898275","1536898325","1536898325"
"NINE18000156","1536898396","0","1","0","0","0","0","0","0","0","0","17","32","3","35","16","3","22","4","7","25","15","1","10","1536898336","1536898385","1536898385"
"NINE18000157","1536898455","0","12","0","0","0","0","0","0","0","0","33","20","4","1","21","7","17","5","7","8","29","0","110","1536898395","1536898445","1536898445"
"NINE18000158","1536898515","0","10","0","0","0","0","0","0","0","0","16","9","7","20","8","7","25","13","1","40","27","7","0","1536898455","1536898505","1536898505"
"NINE18000159","1536898575","0","6","0","0","0","0","0","0","0","0","25","9","0","14","10","7","3","27","8","1","31","9","111","1536898515","1536898565","1536898565"
"NINE18000160","1536898636","0","10","0","0","0","0","0","0","0","0","31","29","88","5","30","0","25","34","6","24","38","6","0","1536898576","1536898625","1536898625"
"NINE18000161","1536898695","0","17","0","0","0","0","0","0","0","0","3","13","5","31","39","8","36","20","4","22","21","66","101","1536898635","1536898685","1536898685"
"NINE18000162","1536898755","0","38","0","0","0","0","0","0","0","0","13","14","44","7","22","8","29","17","3","5","9","5","0","1536898695","1536898745","1536898745"
"NINE18000163","1536898815","0","29","0","0","0","0","0","0","0","0","4","8","3","36","10","2","16","22","0","32","34","7","1","1536898755","1536898805","1536898805"
"NINE18000164","1536898875","0","12","0","0","0","0","0","0","0","0","33","13","3","35","14","3","26","21","3","22","29","4","1","1536898815","1536898865","1536898865"
"NINE18000165","1536898935","0","33","0","0","0","0","0","0","0","0","29","32","88","40","8","2","18","14","9","27","31","5","0","1536898875","1536898925","1536898925"
"NINE18000166","1536898995","0","20","0","0","0","0","0","0","0","0","33","35","99","31","12","1","26","13","1","4","17","6","0","1536898935","1536898985","1536898985"
"NINE18000167","1536899055","0","18","0","0","0","0","0","0","0","0","11","10","33","6","20","7","19","23","1","27","26","77","1","1536898995","1536899045","1536899045"
"NINE18000168","1536899115","0","22","0","0","0","0","0","0","0","0","1","4","11","11","32","1","8","37","2","35","13","3","0","1536899055","1536899105","1536899105"
"NINE18000169","1536899175","0","27","0","0","0","0","0","0","0","0","5","4","3","39","30","8","6","32","0","2","11","4","101","1536899115","1536899165","1536899165"
"NINE18000170","1536899236","0","23","0","0","0","0","0","0","0","0","26","24","3","13","2","5","40","32","8","37","4","1","110","1536899176","1536899225","1536899225"
"NINE18000171","1536899295","0","23","0","0","0","0","0","0","0","0","9","26","0","6","16","6","24","17","1","37","4","1","111","1536899235","1536899285","1536899285"
"NINE18000172","1536899355","0","10","0","0","0","0","0","0","0","0","21","32","4","5","8","22","6","26","9","9","33","2","110","1536899295","1536899345","1536899345"
"NINE18000173","1536899415","0","10","0","0","0","0","0","0","0","0","32","29","88","3","12","4","33","13","3","19","21","1","0","1536899355","1536899405","1536899405"
"NINE18000174","1536899475","0","32","0","0","0","0","0","0","0","0","29","31","88","14","10","7","35","38","9","27","8","9","0","1536899415","1536899465","1536899465"
"NINE18000175","1536899535","0","28","0","0","0","0","0","0","0","0","35","34","99","31","20","3","4","32","9","15","13","44","0","1536899475","1536899525","1536899525"
"NINE18000176","1536899596","0","30","0","0","0","0","0","0","0","0","29","32","88","15","3","5","7","40","2","27","23","3","0","1536899536","1536899585","1536899585"
"NINE18000177","1536899655","0","12","0","0","0","0","0","0","0","0","4","14","5","21","39","6","36","40","9","17","10","8","111","1536899595","1536899645","1536899645"
"NINE18000178","1536899716","0","37","0","0","0","0","0","0","0","0","24","31","4","21","16","0","22","26","3","39","18","5","1","1536899656","1536899705","1536899705"
"NINE18000179","1536899775","0","22","0","0","0","0","0","0","0","0","19","23","1","15","21","0","16","25","1","33","4","0","0","1536899715","1536899765","1536899765"
"NINE18000180","1536899835","0","24","0","0","0","0","0","0","0","0","31","1","9","34","30","7","28","37","7","2","4","11","1","1536899775","1536899825","1536899825"
"NINE18000181","1536899895","0","33","0","0","0","0","0","0","0","0","1","29","9","12","4","4","16","14","44","17","2","6","10","1536899835","1536899885","1536899885"
"NINE18000182","1536899955","0","23","0","0","0","0","0","0","0","0","16","26","1","14","36","3","31","22","4","20","13","9","111","1536899895","1536899945","1536899945"
